iter	Passed	Remaining
795	2988	765
796	2991	762
797	2996	758
798	2999	754
799	3003	750
800	3006	746
801	3010	743
802	3014	739
803	3017	735
804	3019	731
805	3023	727
806	3026	723
807	3029	719
808	3032	715
809	3035	711
810	3038	708
811	3043	704
812	3047	700
813	3050	696
814	3054	693
815	3059	689
816	3062	686
817	3065	682
818	3068	678
819	3073	674
820	3076	670
821	3080	666
822	3083	663
823	3086	659
824	3091	655
825	3094	651
826	3097	648
827	3100	644
828	3104	640
829	3108	636
830	3111	632
831	3114	628
832	3117	624
833	3120	621
834	3123	617
835	3126	613
836	3129	609
837	3132	605
838	3136	601
839	3140	598
840	3143	594
841	3146	590
842	3150	586
843	3154	583
844	3158	579
845	3161	575
846	3164	571
847	3168	567
848	3171	564
849	3174	560
850	3177	556
851	3181	552
852	3185	548
853	3188	545
854	3191	541
855	3194	537
856	3198	533
857	3202	530
858	3205	526
859	3208	522
860	3211	518
861	3214	514
862	3217	510
863	3220	506
864	3223	503
865	3226	499
866	3230	495
867	3235	491
868	3238	488
869	3241	484
870	3245	480
871	3250	477
872	3253	473
873	3257	469
874	3261	465
875	3266	462
876	3269	458
877	3272	454
878	3275	450
879	3279	447
880	3283	443
881	3286	439
882	3289	435
883	3292	432
884	3296	428
885	3300	424
886	3306	421
887	3312	417
888	3315	414
889	3318	410
890	3321	406
891	3325	402
892	3329	398
893	3332	395
894	3335	391
895	3338	387
896	3343	383
897	3346	380
898	3349	376
899	3352	372
900	3356	368
901	3374	366
902	3378	362
903	3381	359
904	3384	355
905	3390	351
906	3393	347
907	3397	344
908	3400	340
909	3404	336
910	3407	332
911	3411	329
912	3414	325
913	3417	321
914	3422	317
915	3426	314
916	3429	310
917	3434	306
918	3439	303
919	3443	299
920	3446	295
921	3450	291
922	3463	288
923	3466	285
924	3471	281
925	3474	277
926	3478	273
927	3481	270
928	3487	266
929	3490	262
930	3493	258
931	3497	255
932	3500	251
933	3503	247
934	3507	243
935	3510	240
936	3513	236
937	3518	232
938	3522	228
939	3525	225
940	3529	221
941	3533	217
942	3536	213
943	3540	210
944	3543	206
945	3547	202
946	3552	198
947	3555	195
948	3558	191
949	3561	187
950	3566	183
951	3569	179
952	3572	176
953	3575	172
954	3578	168
955	3582	164
956	3585	161
957	3588	157
958	3591	153
959	3594	149
960	3597	146
961	3600	142
962	3603	138
963	3606	134
964	3609	130
965	3614	127
966	3618	123
967	3621	119
968	3624	115
969	3628	112
970	3632	108
971	3635	104
972	3639	100
973	3644	97
974	3647	93
975	3650	89
976	3655	86
977	3659	82
978	3663	78
979	3667	74
980	3670	71
981	3673	67
982	3677	63
983	3680	59
984	3683	56
985	3686	52
986	3690	48
987	3698	44
988	3701	41
989	3704	37
990	3709	33
991	3712	29
992	3715	26
993	3718	22
994	3722	18
995	3725	14
996	3728	11
997	3731	7
998	3734	3
999	3739	0
